Codigo,NomeCatalogoAtual,NomeCadastro,DescricaoCadastro,EspecificacoesCadastro
1173,FITA LED 4040 6500K 12V 5M,FITA LED 4040 6500K 12V 5M,Fita LED flexível 4040 6500K 5mt com fonte,CÓDIGO: 1173\REFERÊNCIA: 1173\POTÊNCIA(W): 42W\TENSÃO(V): 100-240V\TEMP. COR(K): 6500K\GARANTIA: 1 ano
1174,FITA LED 4040 3000K 12V 5M,FITA LED 4040 3000K 12V 5M,Fita LED flexível 4040 3000K 5mt com fonte,CÓDIGO: 1174\REFERÊNCIA: 1174\POTÊNCIA(W): 42W\TENSÃO(V): 100-240V\TEMP. COR(K): 3000K\GARANTIA: 1 ano
1177,FITA LED 2835 RGB 12V 5M,FITA LED 2835 RGB 12V 5M,Fita LED flexível 2835 RGB 5mt com fonte 12v,CÓDIGO: 1177\REFERÊNCIA: 1177\POTÊNCIA(W): 24W\TENSÃO(V): 100-240V\TEMP. COR(K): RGB\GARANTIA: 1 ano
1180,FITA LED 2835 6500K 12V 5M,FITA LED 2835 6500K 12V 5M,Fita LED flexível 2835 6500K 5mt com fonte 12v (Luz Branca Fria),CÓDIGO: 1180\REFERÊNCIA: 1180\POTÊNCIA(W): 24W\TENSÃO(V): 100-240V\TEMP. COR(K): 6500K\GARANTIA: 1 ano
1359,FITA LED 5050 42W 12V 6500K,FITA LED 5050 42W 12V 6500K,Fita flexível de LED 5050 5mt com fonte 12v,CÓDIGO: 1359\REFERÊNCIA: 1359\COMPRIMENTO: 5M\LARGURA DA FITA: 10MM\POTÊNCIA(W): 42W\FLUXO LUMINOSO: 500lm/m\TENSÃO(V): 12V\LED Qty: 60LEDs P/ METRO\PROTEÇÃO: IP44\GARANTIA: 1 ANO
1360,FITA LED 5050 42W 12V 2700K,FITA LED 5050 42W 12V 2700K,Fita flexível de LED 5050 5mt com fonte 12v,CÓDIGO: 1360\REFERÊNCIA: 1360\COMPRIMENTO: 5M\LARGURA DA FITA: 10MM\POTÊNCIA(W): 42W\FLUXO LUMINOSO: 500lm/m\TENSÃO(V): 12V\LED Qty: 60LEDs P/ METRO\PROTEÇÃO: IP44\GARANTIA: 1 ANO
1393,REFLET LED 10W BIVOLT RGB .PRETO IP65,REFLET LED 10W BIVOLT RGB .PRETO IP65,Refletor LED RGB 10W Bivolt IP65,CÓDIGO: 1393\REFERÊNCIA: 1393\POTÊNCIA(W): 10W\COR: RGB\TENSÃO(V): 100-240V\PROTEÇÃO: IP65FREQUÊNCIA: 50/60Hz\ÂNGULO DE ILUMINAÇÃO: 120°\ FATOR DE POTÊNCIA: >40\DIMENSÕES: 103x135x45mm\GARANTIA: 1 ano
1394,REFLETOR LED 30W PT BIV RGB IP65 NITROLUX,REFLETOR LED 30W PT BIV RGB IP65 NITROLUX,Refletor LED RGB 30W Bivolt IP65,CÓDIGO: 1394\REFERÊNCIA: 1394\POTÊNCIA(W): 30W\COR: RGB\TENSÃO(V): 100-240V\PROTEÇÃO: IP66\FLUXO LUMINOSO (lm): 2.400\DIMENSÕES: 225x225x50mm\GARANTIA: 1 ano
1395,REFLETOR LED 50W PT BIV RGB IP65 NITROLUX,REFLETOR LED 50W PT BIV RGB IP65 NITROLUX,Refletor LED RGB 50W Bivolt IP65,CÓDIGO: 1395\REFERÊNCIA: 1395\POTÊNCIA(W): 50W\COR: RGB\TENSÃO(V): 100-240V\PROTEÇÃO: IP66\FLUXO LUMINOSO (lm): 4.000\DIMENSÕES: 285x275x70mm\GARANTIA: 1 ano
1422,BOCAL CERÂMICO M-B401 BIVOLT E40,BOCAL CERÂMICO M-B401 BIVOLT E40,Bocal Cerâmico M-B401 Bivolt Socket E40,CÓDIGO: 1422\REFERÊNCIA: 1422\TENSÃO(V): 100-240V\DIMENSÕES: Ø40x45mm
1424,BOCAL DE LOUÇA M519 BIVOLT E27,BOCAL DE LOUÇA M519 BIVOLT E27,Bocal de Louça M519 Bivolt E27,CÓDIGO: 1424\REFERÊNCIA: 1424\TENSÃO(V): 100-240V\DIMENSÕES: Ø40x45mm
1466,RELE NT301 BIVOLT .AZUL IP44,RELE NT301 BIVOLT .AZUL IP44,Relé NT301 Bivolt IP44 cor Azul,CÓDIGO: 1466\REFERÊNCIA: 1466\REFERÊNCIA: NT301 BIVOLT AZUL\POTÊNCIA(W): ***\TENSÃO(V): 100-240V\DIMENSÕES: 35x47x48mm\GARANTIA: 1 ano
